favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2,Twitter Web Client,"Caro (a) Sr. (a); A eleição d CARLOS BOLSONARO 11.120, no Rio, é d fundamental importância p/ a continuidade d meu trabalho em Brasília.",,False,Fri Oct 05 17:47:43 +0000 2012,7,254276697212452864
112,Twitter Web Client,SELVA!,,False,Tue Jul 17 19:21:06 +0000 2012,55,225309167932547074
1,PicBadges,Bolsonaro - http://t.co/eEJKRXOw,,False,Tue Jul 17 19:18:25 +0000 2012,1,225308491655548929
1,Twitter Web Client,DEUS SALVE NOSSAS CRIANÇAS. http://t.co/bxCE6eHb,,False,Thu Jun 14 20:02:17 +0000 2012,19,213360731314335744
1,Twitter Web Client,"Eleger @VerBolsonaro, p/ vereador no Rio de Janeiro é de vital importância p/ a continuidade de meu trabalho em Brasília.",,False,Tue Jul 17 19:20:28 +0000 2012,9,225309008632881153
3,Twitter Web Client,"Conheçam os feitos do meu filho, Carlos Bolsonaro, como vereador no Rio de Janeiro. Grato a todos. http://t.co/LdwH50vx",,False,Fri Jul 20 16:43:17 +0000 2012,2,226356614771392512
1,Twitter Web Client,Bolsonaro estará hj à noite no Programa do Ratinho expondo o Projeto do Estatuto Penitenciário Nacional do PT. http://t.co/BcP8PA1L,,False,Thu Dec 13 16:40:59 +0000 2012,3,279264666725785601
5,Twitter Web Client,ASSUSTEM-SE PAIS: Vejam o conteúdo do kit-gay q já chegou nas escolas primárias do Brasil. http://t.co/hnywBCdE,,False,Mon Jul 23 23:00:04 +0000 2012,58,227538599225212928
1,Twitter Web Client,"@JornalExtra, via @BereniceSeara: Bolsonaro e Zé de Abreu Trocam Farpas no Twitter. D q lado vc fica? http://t.co/vjBhqapK",jornalextra,False,Wed Dec 19 23:02:40 +0000 2012,1,281535048237326337
2,Twitter Web Client,ATENÇÃO PAIS: Vejam o conteúdo do kit-gay acaba d chegar nas escolas privadas p/ a criançada. http://t.co/bq53B97y,,False,Mon Jul 23 16:59:29 +0000 2012,27,227447857819574273
0,Twitter Web Client,RT @VerBolsonaro: Bolsonaro vira ateu e comunista e lamenta a morte de Niemeyer. http://t.co/ReoHW2OS,,False,Thu Dec 06 17:52:40 +0000 2012,3,276745989853958144
1,Twitter Web Client,"A eleição de Carlos Bolsonaro 11.120, p/ vereador no Rio de Janeiro é de vital importância p/ a continuidade d meu trabalho em Brasília.",,False,Tue Jul 17 19:10:10 +0000 2012,16,225306419115732994
