favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
35851,Twitter for iPhone,"- Boa segunda-feira a todos! Se possível, assistam até o final! https://t.co/uE3lQ79XH0",,False,Mon Oct 14 14:24:21 +0000 2019,5914,1183750394041774081
4996,Twitter for iPhone,"10- Maioria das capitais vive retomada do emprego formal. 14 tiveram saldo positivo com carteira assinada nos 8 primeiros meses do ano. São Paulo lidera o ranking, com 58.889 novos postos de trabalho. A herança monstruosa deixada pelo PT tem que ser revertida!",jairbolsonaro,False,Sun Oct 13 12:00:02 +0000 2019,1118,1183351687718809601
43855,Twitter for iPhone,"Uma das várias Fake News espalhadas contra mim na campanha era de que eu acabaria com o Bolsa Família. Nesta tarde, como presidente, assinei MP que cria o 13° do Bolsa Família, que será pago partir deste ano, com recursos oriundos do combate às fraudes no programa. Grande dia! 👍",,False,Wed Oct 16 00:45:09 +0000 2019,8462,1184269009409187841
17301,Twitter for iPhone,Muitas destas fakenews ainda podem ser desmascaradas! https://t.co/66qjLkr4Zx,,False,Wed Oct 16 19:53:07 +0000 2019,3860,1184557904856305665
21135,Twitter for iPhone,"O @MInfraestrutura @tarcisiogdf sobre nosso programa de concessões que está modernizando a infraestrutura  brasileira e colocando-a em um novo e mais elevado patamar. O resultado é mais desenvolvimento, mais investimentos, geração de empregos e melhores serviços à população. https://t.co/bTUngMTx5l",,False,Tue Oct 15 14:12:39 +0000 2019,4300,1184109837262774273
4987,Twitter for iPhone,"11- Sancionado o novo marco das telecomunicações. Mais ampliação do acesso à internet para a população, ou seja, informação chegando mesmo em locais onde o investimento em banda larga é considerado pouco rentável pelas empresas: os rincões do Brasil. @mctic",jairbolsonaro,False,Sun Oct 13 12:00:50 +0000 2019,1112,1183351887036375040
37745,Twitter for iPhone,"- @MinEconomia Paulo Guedes, assina portaria que aumenta de US$500 para US$ 1000 o limite de compras em free shops para brasileiros que voltam de viagens do exterior. Devido a legislação, este tipo de atitude só vale para o ano seguinte. Medida passa a valer a partir de 1º/01/20.",,False,Mon Oct 14 23:34:29 +0000 2019,6030,1183888840660008960
5119,Twitter for iPhone,20- Brasil sobe de posição no ranking global de competitividade. Indicativos de confiabilidade do investidor. Se todos fizermos o dever de casa teremos muitos mais para crescer! https://t.co/to4Vsp1D22,jairbolsonaro,False,Sun Oct 13 12:21:54 +0000 2019,1184,1183357191472009217
10388,Twitter for iPhone,"MAIS EMPREGOS: segundo dados do Caged, foram gerados, em setembro, mais de 157 mil novos postos de trabalho, o melhor resultado para o mês em 6 anos. Nordeste foi a região com maior saldo. No acumulado do ano, mais de 761 mil novos empregos. ESTAMOS MUDANDO O BRASIL PARA MELHOR!",,False,Thu Oct 17 20:44:05 +0000 2019,2201,1184933120191148032
11099,Twitter Web App,"Em Florianópolis com @SF_Moro para uma série de compromissos: participamos de curto treino de tiro na inauguração de um complexo de unidade de tiros, bem como visitamos 1,2 mil alunos em 32 turmas do curso de formação da @PRFBrasil  em Vargem Pequena, no Norte da Ilha. https://t.co/KBp3qXD7Ml",,False,Thu Oct 17 20:07:38 +0000 2019,2230,1184923946518482945
5609,Twitter for iPhone,"4- MP aprovada no Congresso. Governo espera R$100 mi este ano. Bens móveis e imóveis do tráfico serão leiloados e revertidos em recursos para aparelhar as polícias federal e dos estados, além de ajudar em programas de tratamento de usuários de drogas. https://t.co/AtqRP9dHX5",jairbolsonaro,False,Sun Oct 13 11:48:35 +0000 2019,1263,1183348805456056320
6264,Twitter for iPhone,"3- A @policiafederal : apreensão recorde em 2019 já superou 60 toneladas. Sufocamento do crime organizado, retirando o sustento dos partidos e grupos terroristas que compõem o Foro de SP. https://t.co/aQzM4nOsIk / https://t.co/8hqzCHlsAF",jairbolsonaro,False,Sun Oct 13 11:44:57 +0000 2019,1441,1183347890523181057
5195,Twitter for iPhone,"15- Nova legislação possibilitou a entrada de companhias internacionais, com crescente interesse no Brasil. Após este passo inicial, as empresas adentrarão o mercado doméstico. A previsão é para daqui poucos meses. https://t.co/EDWJwAY0Ez",jairbolsonaro,False,Sun Oct 13 12:10:11 +0000 2019,1149,1183354242674900992
4986,Twitter for iPhone,"9- O @MEC_Comunicacao , lançou o programa “Novos Caminhos”, que criará 1,5 milhão de matrículas na educação profissional. Faculdade é fundamental, contudo o ensino técnico é o motor para o retorno do dinheiro do contribuinte de forma rápida e eficaz. https://t.co/vJcfHtowxz",jairbolsonaro,False,Sun Oct 13 11:59:19 +0000 2019,1125,1183351508764647425
5174,Twitter for iPhone,"18- Produção de motocicletas em setembro foi 15,1% maior na comparação com o mesmo mês de 2018 - Fonte: Abraciclo. Emprego e atrativo para o investidor, num dos maiores setores para este mercado no mundo.",jairbolsonaro,False,Sun Oct 13 12:19:09 +0000 2019,1169,1183356499973890048
8599,Twitter for iPhone,"23 - O Agronordeste contempla 230 municípios, além de MG e 1,7 milhão de pessoas, lançado pela @Min_Agricultura , @TerezaCrisMS .A Agricultura Irrigada e os Perímetros de Irrigação, do @mdregional_br , contribuirão com o desenvolvimento deste projeto. https://t.co/RCNhGktbrf",jairbolsonaro,False,Sun Oct 13 12:26:32 +0000 2019,1619,1183358355089297409
39271,Twitter for iPhone,"- @luislacombeof  e os jornalistas militantes.
- Para eles não existem boas notícias no governo. https://t.co/UdKbR1XnSZ",,False,Tue Oct 15 17:44:17 +0000 2019,8346,1184163096086102017
5285,Twitter for iPhone,"8- Governo já bateu a meta estipulado para privatizações em 2019. Impedimento de loteamentos políticos, qualificação de serviços, recursos obtidos sendo aplicados onde realmente necessitam, além de com muito sacrifício, tapar rombos monstruosos. Seguimos! https://t.co/L6Ifml4Khe",jairbolsonaro,False,Sun Oct 13 11:55:39 +0000 2019,1192,1183350584344285184
44398,Twitter for iPhone,"- Estradas de ferro ressurgindo no Brasil.
- Cargas em geral operando na linha Santos-SP/Rondonópolis-MT.
- Brevemente teremos Santos/Anápolis.
- Nossos parabéns ao @MInfraestrutura @tarcisiogdf https://t.co/cUUsHtuDs1",,False,Sun Oct 13 18:42:53 +0000 2019,8944,1183453067104129024
16036,Twitter for iPhone,"Com a detecção do aparecimento de petróleo no litoral do Nordeste, no início de setembro, o governo federal montou mais numa força tarefa para interceder. 1.700 agentes ambientais e 50 funcionários da Petrobras participam da operação coordenada pelo Ibama. Infos: @mmeioambiente",,False,Thu Oct 17 14:01:13 +0000 2019,2893,1184831737274220544
29952,Twitter for iPhone,"Índice de estupros cai 12% no 1º semestre de 2019 em relação ao mesmo período de 2018 (fonte: Sinesp). Ainda há muito a fazer, mas o resultado mostra que estamos no caminho certo! Seguimos firmes na missão de devolver aos cidadãos a segurança e liberdade que lhes foi tirada.",,False,Mon Oct 14 18:29:21 +0000 2019,5371,1183812048628699138
24807,Twitter for iPhone,Temos muito ainda para avançar! https://t.co/f3H1bTAd5W,,False,Mon Oct 14 17:41:40 +0000 2019,4053,1183800048095764481
55404,Twitter for iPhone,"- Qual o papel da imprensa?
- Por que só notícia ruim ou fofoca?
- Peço compartilhar. https://t.co/tef3TcqNk1",,False,Wed Oct 16 16:17:46 +0000 2019,17259,1184503711542005761
5460,Twitter for iPhone,"14- Dinheiro retornado da corrupção histórica do PT: Mais uma fase em andamento. O @mdregional_br anunciou esta semana mais investimentos na transposição do Rio São Francisco para que a água chegue à região metropolitana de Fortaleza, beneficiando quase 4,5 milhões de habitantes.",jairbolsonaro,False,Sun Oct 13 12:05:37 +0000 2019,1245,1183353091225206785
5265,Twitter for iPhone,"7- O @Min_Agricultura cria descontos no mês de outubro para produtos da Agricultura Familiar (AF). Inaugurada Unidade de Distribuição da AF de Santiago/RS, que movimentará cerca de 22 toneladas de alimentos durante os 10 meses de convênio com o Programa de Aquisição de Alimentos.",jairbolsonaro,False,Sun Oct 13 11:53:28 +0000 2019,1154,1183350033388916737
1391,Twitter for iPhone,"@CarolDeToni Forte abraço, Deputada! 🇧🇷",CarolDeToni,False,Thu Oct 17 21:21:16 +0000 2019,138,1184942477935104007
