favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
3,Twitter Web Client,PEC DO TRABALHO ESCRAVO: Governo aprova projeto q na verdade mascara o fim da propriedade privada. http://t.co/8LtjM2dR3O,,False,Tue Oct 15 12:51:16 +0000 2013,5,390097542244868097
0,Twitter Web Client,"Mesmo pescando legalmente, Bolsonaro corre o risco d se tornar inelegível por acusação d crime ambiental. http://t.co/H436dbTVuN",,False,Fri May 17 12:24:36 +0000 2013,5,335370265624207360
4,Twitter Web Client,EXCELENTE MATÉRIA: Veja a íntegra da entrevista de @marcofeliciano no Programa do Ratinho. http://t.co/bLZhiLkkM6,,False,Tue Apr 16 14:54:44 +0000 2013,12,324174021514104833
0,Hootsuite,"Stephen Fries; uma hora d conversa s/ problemas, alguns quebrados segundos divulgados . Mais um s/ vergonha aparecendo às minhas custas.",,False,Mon Oct 21 20:45:21 +0000 2013,5,392391176822996992
0,Facebook,O QUE GRANDE PARTE DA IMPRENSA NÃO DIVULGA: Representante de minorias e twitteiro influente pregam + agressões e... http://t.co/zae2ZoIo95,,False,Fri Mar 22 13:33:53 +0000 2013,21,315093979450441728
1,Twitter Web Client,"SIGA A FAMÍLIA BOLSONARO NO TWITTER: Eduardo (@BolsonaroSP ), Flávio (@FlavioBolsonaro) e Carlos (@VerBolsonaro)",,False,Thu Oct 24 17:36:50 +0000 2013,1,393430900584620032
6,Twitter Web Client,A VERDADE SOBRE JOÃO GOULART: Congresso admite culpa e isenta militares de golpe. http://t.co/R4MzpVLGBe,,False,Thu Nov 21 21:09:14 +0000 2013,19,403631212607971328
2,Facebook,http://t.co/fDdbFNeth7... http://t.co/9uyx7nCowh,,False,Tue Mar 26 00:27:39 +0000 2013,12,316345669709352961
4,Twitter Web Client,"Carlos Bolsonaro elogia os grandes produtores ,critica o MST e a defesa do governo a estes baderneiros . http://t.co/MqFQHNrBNx",,False,Fri Apr 26 20:23:24 +0000 2013,3,327880613774376961
6,Twitter Web Client,"Revista Época: Bolsonaro fala sobre militares, ações da PM, biografias, Dilma e mto +.Veja e opine: http://t.co/FzDl5amVMj",,False,Sun Oct 20 19:28:19 +0000 2013,12,392009404456783872
2,Facebook,http://t.co/rpXxxZE1Oq http://t.co/N3ZRJBBfK6,,False,Mon Apr 01 13:09:25 +0000 2013,9,318711702285873152
1,Twitter Web Client,Brasileiros selecionados pelo MST vão estudar medicina em Cuba p/ aprender técnicas guerrilha.. http://t.co/VBTgb7WSiA,,False,Mon May 13 18:15:59 +0000 2013,14,334009139225305089
5,Twitter Web Client,Flávio Bolsonaro esculhamba Marcelo Freixo e defende policiais q mataram o traficante Matemático. http://t.co/9h9HjKqxRn,,False,Tue May 07 21:50:05 +0000 2013,34,331888693054947329
1,Facebook,"Grupo organizado pelo PT, Bolsonaro não alivia.

http://t.co/5FJRPY4Xb3 http://t.co/88L6qy827O",,False,Thu Mar 21 01:50:25 +0000 2013,10,314554560335204352
2,Twitter Web Client,Vereador Bolsonaro comanda combate ao programa Maus Médicos no Rio de Janeiro. http://t.co/Vr4gX1jheM,,False,Thu Oct 10 17:24:21 +0000 2013,1,388354327925891072
2,Facebook,"Discurso de Carlos Bolsonaro: ""Índio fajuto da Aldeia Maracanã usa crachá do PSOL e não corre atrás de tartaruga... http://t.co/mZgIxXooct",,False,Fri Apr 05 19:25:04 +0000 2013,17,320255786150408192
1,Twitter Web Client,"Desta vez, Jair Bolsonaro tortura Jean Wyllys na Comissão de Direitos Humanos da Câmara. http://t.co/j4aNj92fiG",,False,Fri May 03 18:31:21 +0000 2013,22,330389131098202113
0,Twitter Web Client,"Se existe dúvida sobre o comportamento d Randolfe. Assista este vídeo sobre Bolsonaro, e ñ tenha +. http://t.co/3kXdNwfjqi",,False,Fri Nov 01 11:37:14 +0000 2013,3,396239504362569728
1,Facebook,"PEDÓFILOS E PT QUEREM A SAÍDA DE FELICIANO 

http://t.co/QEEFrvPaeL http://t.co/MZM9XBOyGB",,False,Wed Mar 27 22:04:21 +0000 2013,9,317034383473274880
2,Twitter Web Client,"Presidente da Comissão de Direitos Humanos da Câmara, eleito pelo PT, propõe comemoração do Dia do Presidiário. http://t.co/47T024rA",,False,Wed Jan 02 10:45:14 +0000 2013,52,286422894349783040
0,Facebook,Hoje é meu aniversário e recebo o maior presente de todos: uma carta de meus filhos. Obrigado meus garotos.... http://t.co/x6WgwJt97F,,False,Thu Mar 21 13:54:49 +0000 2013,5,314736859400003584
1,Facebook,Eu publiquei uma nova foto no Facebook http://t.co/dQLUv8FOB2,,False,Wed Mar 20 20:09:35 +0000 2013,3,314468786231201793
3,Twitter Web Client,Vejam algumas das ameaças q sofremos nas redes sociais. Quem são os verdadeiros intolerantes? http://t.co/WWhSVglZYQ,,False,Thu Mar 14 18:10:48 +0000 2013,44,312264565301841920
0,Twitter Web Client,"Mesmo pescando c/ varinha e legalmente, Bolsonaro pode se tornar inelegível por crime ambiental. http://t.co/vM0tvCHz8R",,False,Thu Nov 28 11:27:05 +0000 2013,10,406021423275077632
7,Twitter Web Client,NOVO: Governo impõe cartilha comunista em livros didáticos e insiste em médicos cubanos no Brasil. http://t.co/JOvrYqbXaU,,False,Thu Aug 08 15:37:24 +0000 2013,49,365496975753355264
5,Twitter Web Client,Governo inclui bolsa-família e aux-desemprego como empregados. S/ eles o real n° d desempregados gira em torno d 30%. http://t.co/cSblegti1e,,False,Mon Feb 25 17:47:32 +0000 2013,28,306098115121934337
0,Twitter Web Client,"Carlos Tufvesson, Global e Coordenador da Diversidade Sexual do Rio, ñ explica gastos c/ parada Gay. http://t.co/qXDNIxCru9",,False,Thu Mar 28 12:23:45 +0000 2013,12,317250657855893505
