favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
43,Twitter for iPhone,Para deputado federal em SP vote Bolsonaro 2070.,,False,Sat Oct 04 10:40:53 +0000 2014,46,518350033142706177
47,Twitter Web Client,"“Se eu virar presidente da Comissão de Direitos Humanos, vão sentir saudades do Feliciano”. http://t.co/GXDRzMFwQP",,False,Fri Feb 07 16:45:51 +0000 2014,78,431831179856052224
41,Twitter Web Client,Bolsonaro apresenta projeto de lei modificando Código Penal em relação a atos de Legítima Defesa. Entenda: http://t.co/U9U2PNH6SV,,False,Tue Sep 16 13:59:14 +0000 2014,54,511876968162541568
48,Twitter Web Client,DEBATE NA @cbnrio: @FlavioBolsonaro x Ong Viva Rio (ESTATUTO DO DESARMAMENTO) às 10:00 AM. Link para acompanhar: http://t.co/CKYj9dg7zU,,False,Mon Dec 08 11:26:42 +0000 2014,53,541916777840934912
132,Twitter for iPhone,"Discurso d Dilma na inauguração do porto de Mariel, a afinidade c/ os irmãos Castro e o desdém c/os brasileiros. http://t.co/Ta8I6uIsAJ",,False,Sat Nov 15 14:13:50 +0000 2014,190,533623917379080193
30,Twitter for iPhone,Indico ao eleitores de SP p/ que votem para deputado federal. http://t.co/0KRWfr1ilg,,False,Sat Oct 04 10:38:11 +0000 2014,13,518349354747572225
26,Twitter Web Client,"Em debate entre Bolsonaro e o ex-marido d Dilma, Carlos Araújo cai em contradição e mente descaradamente. http://t.co/dYsppSGw4d",,False,Thu Apr 10 21:20:51 +0000 2014,34,454368435569696768
28,Twitter Web Client,@FlavioBolsonaro deflagra o convênio do MST e Venezuela. http://t.co/HivHyLhv94,FlavioBolsonaro,False,Wed Nov 05 19:23:43 +0000 2014,38,530078021668339712
14,Twitter Web Client,"A fanpage ""Bolsonaro Zuero 3.0"" volta c/ td no facebook, após sua quinta queda. Curtam! Um abraço ao pessoal do @BolsonaroZuero",,False,Mon Jan 13 18:56:38 +0000 2014,14,422804398440341504
173,Twitter for iPhone,"Hj, encontro de Forças Especiais, Comandos e Paraquedistas das FFAA, Auxiliares e CORE. http://t.co/0yykQ2QVMI",,False,Fri Dec 05 20:56:04 +0000 2014,130,540972899952492545
23,Twitter Web Client,BOLSONARO E CLODOVIL: CADÊ A HOMOFOBIA? http://t.co/tKlkghNj1r,,False,Thu Aug 21 18:41:34 +0000 2014,24,502525937620357120
15,Twitter Web Client,"Bolsonaro: ""O PL122 ñ morreu e a maioria dos homossexuais são contra essa palhaçada q está ai no Senado.""http://t.co/rOUJJ72dD7",,False,Tue Mar 25 18:06:25 +0000 2014,15,448521299762368512
165,Twitter Web Client,"Opinião de @Olavo de @OdeCarvalho sobre o ""Caso Bolsonaro e Maria do Rosário - PT"". http://t.co/Lj11MUzSAS",,False,Mon Dec 15 18:26:51 +0000 2014,191,544559227076096000
376,Twitter for iPhone,Prefiro viver com dignidade na planície do que como um rato no planalto. http://t.co/KoCbLjevuC,,False,Sat Dec 20 14:00:26 +0000 2014,351,546304121071235072
25,Twitter Web Client,CELSO AMORIM É UMA PIADA: Bolsonaro discursa sobre atual situação das Forças Armadas no Brasil. http://t.co/3WrDcIRYBW,,False,Wed Apr 23 14:14:05 +0000 2014,30,458972079971647488
27,Twitter Web Client,"Conheça o PSOL, o partido que sobrevive de MENTIRAS. http://t.co/qKspREOmK9",,False,Wed Sep 10 22:30:18 +0000 2014,48,509831257648541696
24,Twitter Web Client,Bolsonaro é entrevistado na @RadioJCNews de Pernambuco. http://t.co/8RGz1KJwvR,,False,Mon May 19 14:36:15 +0000 2014,31,468399741412593665
82,Twitter Web Client,"Enquanto Brasil vive a iminência de apagão, PT anuncia construção de hidrelétirca na Nicarágua. http://t.co/U6p59PzzYQ",,False,Fri Apr 04 15:37:01 +0000 2014,176,452107581667180544
108,Twitter Web Client,"RAP DA FAMÍLIA BOLSONARO: Ainda ñ conheço o autor, mas gostaria d agradecer a homenagem. http://t.co/5r7T7nXdHM",,False,Mon Aug 11 21:16:57 +0000 2014,43,498941160489230336
34,Twitter Web Client,"PROGRAMA MAUS MÉDICOS DO PT E SUAS CONSEQUÊNCIAS: Em entrevista, Bolsonaro faz críticas e propõe soluções p/ a Saúde. http://t.co/Act2ejPIc2",,False,Mon Sep 01 22:16:32 +0000 2014,46,506566302853767168
12,Twitter for iPhone,Dirscurso: Cotas do ódio. http://t.co/8LHwPVycCp,,False,Thu Mar 27 16:50:49 +0000 2014,14,449227051288252417
16,Twitter Web Client,BOLSONARO EM 4 MINUTOS: http://t.co/TotjU9ZR4T,,False,Wed May 07 15:13:53 +0000 2014,20,464060559764107266
9,Twitter Web Client,Jovens e Política: Escolas livres de doutrinação ideológica. http://t.co/FTm130ZyIn ( via @FlavioBolsonaro e @escolasempartid ),,False,Thu Aug 14 15:31:15 +0000 2014,18,499941325295611905
58,Twitter Web Client,BOLSONARO TORTURA JEAN WYLLYS (PSOL-RJ) NA COMISSÃO DE DIREITOS HUMANOS. http://t.co/4TPePYugFG,,False,Fri Sep 05 21:03:00 +0000 2014,65,507997349323755520
49,Twitter Web Client,"EQUIPE UNIDA DEFENDENDO MENSALEIROS PRESOS: (André Vargas, José Guimarães, Vicentinho e Benedita) http://t.co/CQlrL2pSpP",,False,Fri May 09 14:50:54 +0000 2014,122,464779550384480256
47,Twitter Web Client,"25/11: DIA INTERNACIONAL DE COMBATE À VIOLÊNCIA CONTRA A MULHER. Discursos são ""bonitos"", mas atitudes são a solução. http://t.co/Judwq8DEV4",,False,Tue Nov 25 17:36:40 +0000 2014,40,537298839750053889
127,Twitter Web Client,Agradeço as sinceras palavras escritas por @OdeCarvalho referentes a mim. A recíproca é verdadeira. http://t.co/tZdbNJeBuY,,False,Sat Sep 27 19:04:31 +0000 2014,101,515940061406568448
21,Twitter Web Client,TAXA DE DESEMPREGO NO BRASIL É UMA FARSA. http://t.co/Eg4zXUbcFW,,False,Tue Apr 15 13:39:25 +0000 2014,38,456064249664917504
36,Twitter Web Client,"EM VÍDEO, LULA APLAUDE FILÓSOFA QUE DIZ ODIAR A CLASSE MÉDIA: estão fazendo tudo direitinho. http://t.co/OFi7ee9VpR",,False,Thu Apr 24 13:34:32 +0000 2014,75,459324513470414848
24,Twitter Web Client,"Jandira Feghali, do Partido Comunista do Brasil como fez c/ @RachelSherazade agora tenta calar Bolsonaro. http://t.co/adBfW3OZzl",,False,Wed Mar 26 11:43:54 +0000 2014,48,448787423628361728
27,Twitter Web Client,Carlos Bolsonaro (@VerBolsonaro) é absolvido em mais um processo movido por movimento gay. http://t.co/3P7GpVTOCN,,False,Mon Feb 24 15:13:30 +0000 2014,28,437968534589546496
15,Twitter for iPhone,OS DIREITOS HUMANOS DO PT: Senado rejeita redução da maioridade penal para crimes hediondos. http://t.co/mSyAeIgIVf,,False,Thu Feb 20 10:32:24 +0000 2014,41,436448241606197248
28,Twitter for iPhone,"29 de setembro, aniversário de Resende. Parabéns! http://t.co/IkEtDkBLoe",,False,Mon Sep 29 14:47:45 +0000 2014,9,516600223792365568
62,Twitter Web Client,Capelão paga para sair do Exército. http://t.co/rKKymQAW8b,,False,Fri Nov 07 22:12:04 +0000 2014,65,530845164286537729
24,Twitter Web Client,DIVULGUE: Bolsonaro conversa c/ mãe q teve filha assassinada por menor d idade q faria 18 anos um dia após o crime. http://t.co/RpYjhWgpGi,,False,Wed Mar 26 16:11:02 +0000 2014,45,448854648511012864
35,Twitter Web Client,Bolsonaro dribla difamações e rótulos propositais atribuídos à sua pessoa conversando c/ eleitores. http://t.co/6MLj9u8teY,,False,Tue Oct 14 14:12:07 +0000 2014,30,522027072508944384
35,Twitter Web Client,"Câmara aprova cotas em concursos públicos federais, c/ Bolsonaro sendo o único voto contrário na bancada do Rio: http://t.co/IolWFouO5s",,False,Thu Mar 27 01:08:39 +0000 2014,49,448989946658177024
52,Twitter Web Client,"BOLSONARO APRESENTA PROJETO Q MODIFICA ESTATUTO DO DESARMAMENTO, POSSIBILITANDO O PORTE D ARMA P/ + CIDADÃOS D BEM: http://t.co/JWfaqCOVUL",,False,Mon Sep 08 20:04:06 +0000 2014,63,509069690728366080
7,Twitter Web Client,"RECOMENDO: Tenho ressalvas em relação à matéria d @reinaldoazevedo. Contudo, AINDA temos o direito d opinar. http://t.co/PNuSYHU02n",,False,Thu Feb 27 12:34:14 +0000 2014,8,439015620038766593
23,Twitter Web Client,"""Bolsonaro e a verdade que a imprensa omite"". http://t.co/kHazh7dYAn",,False,Thu Jul 03 18:49:51 +0000 2014,32,484771017693622273
11,Twitter for iPhone,No Calçadão de Madureira c/ @FlavioBolsonaro . NO RJ: #ESTADUALFLAVIOBOLSONARO11.120 #FEDERALJAIRBOLSONARO1120 http://t.co/E6qzs0pEPk,,False,Tue Sep 09 17:13:08 +0000 2014,8,509389050412032000
16,Twitter Web Client,"Hj à noite, às 22h (horário d Brasília), bate papo ao vivo entre Olavo de Carvalho e a Família Bolsonaro. http://t.co/5pqBCrawgH",,False,Thu Feb 13 17:36:41 +0000 2014,36,434018302159900673
17,Twitter for iPhone,"Cubana ""deserda"" do Programa Mais Médicos do PT e conta o q todos já sabíamos... e mais um pouco. http://t.co/auLm1WFC1p",,False,Wed Feb 05 15:51:46 +0000 2014,52,431092793961099264
35,Twitter Web Client,Há mto vagabundo 171 recebendo bolsa-ditadura e opinião sobre Marcha da Família. http://t.co/eRh8q43XoD,,False,Thu Mar 20 15:33:24 +0000 2014,34,446670853582127105
39,Twitter for iPhone,"Meia noite irá ao ar, gravação do Programa @agoraetarde c/ @DepBolsonaro e @rafinhabastos .",,False,Wed Apr 09 01:41:28 +0000 2014,50,453709246254047232
48,Twitter for iPhone,Bolsonaro no @Pgm_Ratinho debatendo temas de interesse nacional e o momento q o país atravessa. http://t.co/b7fsCQ8Kck,,False,Wed Mar 05 22:23:41 +0000 2014,66,441338284556713986
9,Hootsuite,RT @BolsonaroSP: TV FOLHA mescla momentos descontraídos e sérios durante convenção do PSC em SP. http://t.co/RCTfprb6Ih,BolsonaroSP,False,Thu Jun 26 13:18:43 +0000 2014,15,482150969808265216
99,Twitter Web Client,HOJE: Discurso de Bolsonaro diante de comitiva de militares de vários países do mundo. http://t.co/P41SOpIjSy,,False,Wed Oct 15 22:54:03 +0000 2014,119,522520808585846784
165,Twitter for iPhone,"+ e +: C/ nossa participação, EB permite arma d calibre restrito p/ Agentes Penitenciários. http://t.co/O2gwWpPa0s http://t.co/ETg4UBPZVi",,False,Tue Oct 28 21:02:40 +0000 2014,99,527203821697921024
