favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
328,Twitter for iPhone,A esquerda só engana a ela mesma! https://t.co/YiCdecCYo6,,False,Tue Nov 08 09:22:02 +0000 2016,118,795919297226874880
218,Twitter for iPhone,"DIA 11 DE ABRIL, CAMPO NOVO DO PARECIS-MT RECEBE BOLSONARO. https://t.co/YOxBthXKs2",,False,Fri Apr 08 23:38:31 +0000 2016,64,718583833642274816
872,Twitter for iPhone,"RATINHO: ""UM GENERAL CANDIDATO À PRESIDÊNCIA DA REPÚBLICA, EM 2018, GANHA"". https://t.co/AoC8t7v7Hs",,False,Wed Jul 06 19:27:10 +0000 2016,224,750773099231113216
1163,Twitter for iPhone,"UNIVERSITÁRIOS LEEM ""VERDADE SUFOCADA"". AUTOR: CORONEL BRILHANTE USTRA. https://t.co/2m7HvOgm3j",,False,Thu Apr 28 13:06:32 +0000 2016,473,725672546494996480
1131,Twitter for iPhone,CELEBRAÇÃO DO DIA DA LEMBRANÇA DOS SOLDADOS MORTOS DE ISRAEL E DAS VÍTIMAS DO TERRORISMO: https://t.co/z2V2hYRFRh,,False,Tue May 10 21:09:15 +0000 2016,273,730142681695981568
950,Twitter for iPhone,"TRUMP, PRESIDENTE DOS ESTADOS UNIDOS DA AMÉRICA.
RESPOSTA DA SOCIEDADE AMERICANA PARA A MANIPULAÇÃO MIDIÁTICA. https://t.co/q3PTMKPvVQ",,False,Thu Nov 10 16:39:57 +0000 2016,261,796754276244660224
430,Twitter for iPhone,"PETISTAS são tds iguais, FLAGRADOS no CRIME DIZEM:- EU Ñ SABIA, É MENTIRA! O MEC sempre mentiu sobre seus ""LIVROS''. https://t.co/Gqu16nYvHz",,False,Fri Jan 15 15:21:46 +0000 2016,320,688018244070944770
374,Twitter for iPhone,Realmente p/ o jornal O Globo vou continuar sendo ZERO nos trabalhos de COMISSÃO. ISSO O JORNAL J-A-M-A-I-S MOSTRARÁ https://t.co/wXC4rCWDfv,,False,Fri Feb 05 17:05:41 +0000 2016,170,695654538762657792
890,Twitter for iPhone,Agradeço do fundo do coração as mensagens de apoio e a invenções criativas com nosso nome! 👌🏻😂🇧🇷 https://t.co/q4AxNkD1ZM,,False,Sun Sep 18 17:02:36 +0000 2016,198,777553419955474432
505,Twitter for iPhone,Hoje estivemos em IPANEMA e no LEBLON (Rio/RJ). Agradeço a todos a consideração q têm conosco! C/ @CarlosBolsonaro https://t.co/LgoexS8Uru,,False,Sun Sep 18 21:14:18 +0000 2016,92,777616763710218240
1595,Twitter for iPhone,BRASIL ACIMA DE TUDO! DEUS ACIMA DE TODOS! Cassados pelo Congresso em 1964 e cassados pelo Congresso em 2016. https://t.co/S8xG4y0AMt,,False,Wed Aug 31 17:36:29 +0000 2016,576,771038968490098689
