favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
47015,Twitter for iPhone,"O Google confirmou pagamento de R$ 88,2 mil pela campanha do PT para que o endereço de site que atacava Bolsonaro aparecesse no primeiro resultado da busca pelo nome ""Jair Bolsonaro"".

A máxima da esquerda se repete: Acusam do que fazem, xingam do que são. https://t.co/PN0WH0GDrv",,False,Thu Mar 28 19:09:25 +0000 2019,11753,1111344559949312001
21112,Twitter for iPhone,"Nesta sexta, 22/03, comemora-se o Dia Mundial da Água. Foi lançado na internet uma campanha de conscientização para o combate ao lixo no mar usando a hashtag #cestou.  São atitudes simples que fazem toda a diferença. Excelente final de semana a todos! #cestou #combateaolixonomar https://t.co/hJx780rd2f",,False,Fri Mar 22 20:05:32 +0000 2019,2991,1109184356898295808
772,Twitter for iPhone,@MillianyNocelli Bom dia Milliany!,MillianyNocelli,False,Tue Jan 08 09:34:16 +0000 2019,13,1082571179230142464
31822,Twitter for Android,- Breve encontro com índios em Manaus/AM. https://t.co/J3T3ER38Ap,,False,Thu Jul 25 15:48:36 +0000 2019,4750,1154418179109785602
42923,Twitter for Android,"DAQUI A POUCO, APÓS A PRAÇA É NOSSA, NO SBT #BolsonaroNoTheNoite https://t.co/oBpSnTMgc8",,False,Fri May 31 01:43:23 +0000 2019,3968,1134274141958352897
60120,Twitter for iPhone,"Comandante da LATAM que pilota para Brasília desde 2005 tirou esta foto hoje e disse que NUNCA tinha visto isso! Tantos da frota do Grupo de Transporte Executivo da FAB (GTE), que transporta os ministros e outras autoridades do governo, no chão em pleno sábado . “Pátria Amada 🇧🇷“ https://t.co/J5J08DCLix",,False,Sat Jan 12 19:57:56 +0000 2019,9651,1084177679744749568
50997,Twitter for iPhone,https://t.co/z2GDlQEup4,,False,Sun Apr 21 18:51:41 +0000 2019,6359,1120037404444897280
53448,Twitter for iPhone,"Assinamos hoje, legislação aprovada pelo Congresso, que garante a posse de arma de fogo no âmbito geral de sua propriedade. É importante a força da lei para que não existam margens para interpretações errôneas! Seguimos avançando!",,False,Tue Sep 17 23:29:04 +0000 2019,7621,1174103005345587200
40374,Twitter for iPhone,Dados iniciais revelam indícios muito fortes que a máquina está sendo usada para manutenção de algo que não interessa ao Brasil. Sabemos que isto pode acarretar greves e movimentos coordenados prejudicando o brasileiro. Em breve muito mais informações para o bem de nosso país.,jairbolsonaro,False,Mon Mar 04 09:39:36 +0000 2019,5685,1102503850517372928
4927,Twitter for Android,@cezar_beltran Um forte abraço a todos os guerreiros do 31° BPM de Guarulhos! Estamos juntos! 👍🏻,cezar_beltran,False,Sat May 18 01:46:04 +0000 2019,273,1129563773273018368
1903,Twitter for iPhone,@alexraulapa Bom dia 👍🏻,alexraulapa,False,Sat Jan 05 09:15:58 +0000 2019,63,1081479408618229761
34459,Twitter for Android,"- Com o prefeito Mão Santa, de Parnaíba. Obrigado Piaui! Um abraço meu Nordeste! https://t.co/ZY8BaoGqGF",,False,Wed Aug 14 17:02:59 +0000 2019,5336,1161684656988852224
39106,Twitter for iPhone,Muito obrigado pela consideração e confiança! https://t.co/mHYpovlwIe,,False,Mon Feb 11 23:44:13 +0000 2019,4537,1095106259760672769
66392,Twitter for iPhone,"@SF_Moro Seja bem vindo, Ministro! 👍🏻",SF_Moro,False,Thu Apr 04 14:37:04 +0000 2019,4713,1113812737619050497
47473,Twitter for Android,"- Na companhia de minha esposa, a Primeira-dama Michelle Bolsonaro, e das crianças da Escola Sustentável Maria Teixeira na Cerimônia de lançamento do Programa Nacional de Incentivo ao Voluntariado, o Pátria Voluntária. 🇧🇷 https://t.co/Iigpi1yFOw",,False,Wed Jul 10 00:34:08 +0000 2019,5303,1148752228745973761
38069,Twitter for Android,Estamos firmes na meta de transformar o Brasil numa Nação Digital! Diversos serviços do Governo Federal podem ser acessados pelo cidadão com o mesmo login. Entre os serviços estão os do INSS e o alistamento militar. https://t.co/3w58Dhxxdz,,False,Tue Jun 04 22:25:22 +0000 2019,4774,1136036249049976833
11328,Twitter for iPhone,"...representantes do governo do Município de Brumadinho e do Estado de Minas Gerais, de outros órgãos e entidades da administração pública federal, do Ministério Público Federal e do Estado de Minas Gerais, da Defensoria Pública da União e do Estado de Minas Gerais, ...",jairbolsonaro,False,Sat Jan 26 10:44:15 +0000 2019,1369,1089111772739584001
34643,Twitter for Android,"- Encerramos nossa visita à Buenos Aires com avanços concretos e a certeza de que os laços entre Brasil e Argentina saem fortalecidos. Nossos países estão dispostos a cooperar cada vez mais em prol da liberdade e da democracia em nosso continente. Até a próxima, hermanos! 🇧🇷🤝🇦🇷",,False,Fri Jun 07 11:20:59 +0000 2019,3806,1136956213848150016
43345,Twitter for iPhone,"Além das inúmeras iniciativas tomadas nestes primeiros dias de Governo, aumentamos de 3 para 10 anos o prazo para a renovação da posse da arma de fogo e acabamos com a subjetividade para a compra, que sempre foi dificultada ou impossibilitada. Esse é apenas o primeiro passo! 🇧🇷",jairbolsonaro,False,Tue Jan 15 19:27:38 +0000 2019,4623,1085257216070963200
