favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1756,Twitter for iPhone,“MÍDIA ESCULACHADA.”  Via @CanalHipocritas - assista: https://t.co/zDnjvMlpFJ,,False,Fri Apr 20 11:59:49 +0000 2018,394,987299797026705408
99671,Twitter for iPhone,"Após as eleições, grandes empresas já anunciaram milhões em investimentos no Brasil nos próximos anos. É só o começo! Comércio com o mundo todo sem viés ideológico + Redução de impostos + Desburocratização = Mais confiança, mais investimentos e mais empregos.",,False,Fri Nov 09 14:44:05 +0000 2018,16418,1060905871176359936
12198,Twitter for iPhone,“FUI AGREDIDO! CHAMEM O BATMAN....” Kkkkkkk https://t.co/Y2HWsaaMxe,,False,Thu Apr 26 20:40:44 +0000 2018,2394,989605215832870912
47313,Twitter for iPhone,"Diante da possibilidade, continuamos fazendo gestões para viabilizar a doação do restante dos recursos arrecadados em campanha não utilizados (+ de R$1.000.000) à instituições beneficentes ao invés deste valor ficar preso ao partido. Mais uma vez agradeço aos que contribuíram! 👍🏻",,False,Fri Dec 14 09:50:22 +0000 2018,5936,1073515531435687940
10044,Twitter for iPhone,Bons momentos no Roda Viva. Obrigado pela homenagem! 👍🏻 https://t.co/wSD7dvHB3D,,False,Tue Aug 07 15:09:17 +0000 2018,2097,1026847753970884608
72,Twitter for iPhone,@Wellington_WBC Um abraço aos amigos de Rio das Ostras - RJ!,Wellington_WBC,False,Wed Jul 18 00:03:25 +0000 2018,3,1019372031501045760
6716,Twitter for iPhone,Kkkkkk... quanta sujeira e mentira! PMs inimputáveis? Kkkkkkk https://t.co/jla4Qwz9DI,,False,Tue Aug 14 15:29:30 +0000 2018,1356,1029389556875972608
35654,Twitter for iPhone,Thank you 👍🏻 https://t.co/QVu8ksPgk8,,False,Fri Nov 16 22:38:21 +0000 2018,4595,1063561940390301697
10878,Twitter for iPhone,Obrigado Distrito Federal! Com @bolsonarosp @Biakicis e @GenPauloChagas https://t.co/Xnhg0PpQw6,,False,Wed Sep 05 13:14:20 +0000 2018,2141,1037328076064124928
1189,Twitter for iPhone,JAIR BOLSONARO: entrevista à TV Cidade Verde (temas atuais). https://t.co/iKWo5Z3dAa,,False,Fri Jul 13 15:05:04 +0000 2018,243,1017786999074361349
30314,Twitter for iPhone,🇧🇷👍🏻🤝 https://t.co/Y8Bo4P6VPt,,False,Tue Dec 18 22:12:38 +0000 2018,2647,1075151882878943234
17369,Twitter for iPhone,"I refuse any kind of support coming from supremacist groups. I suggest that, for consistency, they support my adversary the candidate of the left party, who loves to segregate the society! This is an offense with Brazilian, the most beautiful and mixed race people in the world.",jairbolsonaro,False,Tue Oct 16 17:31:13 +0000 2018,3552,1052250624308510720
21435,Twitter for iPhone,"Obrigado pelas palavras, Senhor Ministro do Interior da Itália! Que em 2019 o Brasil possa fortalecer as relações com a Itália e com mais países livres e democráticos no mundo. https://t.co/fGCoX2Mkxy",,False,Sat Sep 15 19:16:47 +0000 2018,4302,1041043166626033666
8424,Twitter for iPhone,Obrigado Brasília. Um abraço Distrito Federal. https://t.co/zVqxHYWM7O,,False,Thu Aug 30 19:53:13 +0000 2018,1469,1035254130128941056
41716,Twitter for iPhone,Maquiador Lili Ferraz visita e vota Jair Bolsonaro. https://t.co/LVnFrgpQKz,,False,Sun Oct 14 12:14:35 +0000 2018,9035,1051446164158144512
5586,Twitter for iPhone,"Hoje, 22h15, LIVE: Jair Bolsonaro, Paulo Guedes, @allantercalivre , @bernardopkuster e Flávio Bolsonaro: https://t.co/5UkCx52gAC",,False,Thu Aug 02 18:57:18 +0000 2018,1400,1025093197691846656
4855,Twitter for iPhone,Mais uma para me acusar de ser o responsável por tudo de ruim no Brasil. Valéria Monteiro vou te ajudar divulgando-a. Boa sorte pré-candidata à Presidente. https://t.co/qOb8gpNF7W,,False,Wed Jan 10 12:16:27 +0000 2018,853,951065198072352769
49455,Twitter for iPhone,Vale lembrar que o Brasil não é uma facção criminosa para ser comandado de dentro da cadeia. Boa noite a todos! 👍🏻,,False,Wed Sep 05 01:22:52 +0000 2018,13063,1037149030567108608
2441,Twitter for iPhone,"A menção de que “hiena” seria um animal da Amazônia foi oriunda de O Globo, Marins Silva e seus adversários, exatamente como a fonte explicitada.",jairbolsonaro,False,Sun Jun 17 12:30:00 +0000 2018,231,1008325887681589248
34275,Twitter for iPhone,"Há preconceito quando fala-se em escolas coordenadas por militares, mas já foi mais que provado o sucesso deste modelo. No Amazonas, por exemplo, uma escola localizada em área pobre, dominada pela criminalidade e de baixíssimo desempenho se tornou referência nacional em educação.",,False,Wed Oct 10 15:14:56 +0000 2018,6966,1050042002593734657
11132,Twitter for iPhone,"Hoje, 01 de setembro de 2018 - Chegada no Aeroporto de Rio Branco / Acre. Muito obrigado a todos pela consideração! Vamos juntos resgatar o Brasil! Um forte abraço a todos! https://t.co/12qwCiyWPK",,False,Sat Sep 01 19:08:40 +0000 2018,2647,1035967696968536064
1838,Twitter for iPhone,"Antes de partirmos, uma agradável reunião agora com Brasileiros em Taiwan: https://t.co/VABsSZCACC",,False,Fri Mar 02 10:16:40 +0000 2018,208,969516833849016320
5639,Twitter for iPhone,FORO DE SÃO PAULO explica: o plano de perpetuação de poder da esquerda usando seu dinheiro. https://t.co/TYPJwqxwmz,,False,Sun Jun 03 14:48:14 +0000 2018,1785,1003287245263130624
23022,Twitter for iPhone,Queremos resgatar os valores perdidos há muito e retirar o Brasil da lama de violência e corrupção que o colocaram! Nosso país não aguenta mais 4 anos do que nos governa há décadas! Vamos dar o primeiro passo para resgatar nossa pátria! 👍🏻,jairbolsonaro,False,Wed Sep 26 11:07:26 +0000 2018,5057,1044906285915942912
45262,Twitter for iPhone,Parabéns a todo povo brasileiro! https://t.co/rj8YTgE6lH,,False,Mon Oct 29 01:26:37 +0000 2018,5550,1056718917794705408
16230,Twitter for iPhone,Grato sempre pela consideração e críticas construtivas @roxmo ! Quanto a nos casarmos não vai dar mesmo! Sou muito bem casado! Fora a brincadeira todos torcemos todos para que o Brasil volte aos trilhos novamente! Um forte abraço! https://t.co/HEL8NRsdGl,,False,Mon Aug 20 00:49:03 +0000 2018,3487,1031342312499105794
2527,Twitter for iPhone,"Paulo Freire descreve Paulo Freire, o atual patrono da educação brasileira. Tente entender algum sentido no confesso admirador de Karl Marx e perceba porque nossa educação está propositalmente um caos para dominar a desejada massa. https://t.co/OzlXUFoGBx",,False,Thu Feb 15 20:36:29 +0000 2018,606,964236996485971980
6851,Twitter for iPhone,"Sem fake news e distorções maldosas, propostas e ideias de Bolsonaro ganham simpatia das mulheres. https://t.co/t6NzuYMcuX",,False,Mon Jun 25 20:02:05 +0000 2018,1570,1011338762033549318
8341,Twitter for iPhone,"Lula, Gleisi Hoffmann e o ex-ministro da Defesa Celso Amorim em cenas deploráveis. Essa turma ainda quer governar o Brasil mais uma vez. https://t.co/x87yKBWKOH",,False,Fri Jan 19 19:47:56 +0000 2018,2619,954440308590133248
16468,Twitter for iPhone,"Sou Jair Messias Bolsonaro, Capitão do Exército Brasileiro e candidato à Presidência da República com o número 17. Um forte abraço!

""BRASIL ACIMA DE TUDO, DEUS ACIMA DE TODOS!"" https://t.co/YHO6qj9mpn",,False,Fri Aug 17 22:32:19 +0000 2018,5146,1030583128404975616
47224,Twitter for iPhone,"Hoje estive na inauguração do III Colégio da Polícia Militar do RJ, que recebeu o nome de Colégio Percy Geraldo Bolsonaro em homenagem ao meu pai. Uma honra! Cada vez mais, escolas militares tornam-se referência de ensino, principalmente por prezarem pela disciplina e hierarquia.",,False,Mon Dec 17 15:39:06 +0000 2018,5298,1074690458155188225
